Video Show,Show year,Location,Key Execs,Key Board Members,Key Advisory Board Members,Key Investors,Key Partnerships,Key Customers,Company Details,Company Profile,Url,Logo
NICE Systems,2014,New York,"Barak Eilam (CEO & President, NICE Systems), Tom Dziersk (President, NICE Americas), Dafna Gruber (CFO, NICE Systems), Eran Liron (EVP Marketing & Corporate Development, NICE Systems), Miki Migdal (President, Enterprise Group)","David Kostman (Chairman of the Board), Joseph Atsmon, Léo Apotheker, Danny Falk, Yocheved Dvir, Rimon Ben-Shaoul, Yehoshua Ehrlich, Joseph Cowan",,NICE is a publicly traded company on the NASDAQ.,"CISCO, BT, Alcatel-Lucent, Citrix, Amdocs, Genesys, Intel, Microsoft, IBM, NEC",,"<strong>Website: </strong><a href=""http://nice.com/enterprise"" target=""_blank"">nice.com/enterprise</a><br>
                  <strong>Blog: </strong><a href=""http://nice.com/blog/enterprise"" target=""_blank"">nice.com/blog/enterprise</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/NICE_Enterprise"" target=""_blank"">@NICE_Enterprise</a><br>
                      <br>
                               <strong> HQ: </strong>Paramus, NJ <br>
                               <strong>Founded: </strong>January  1986 <br>
                               <strong>Product Demoed: </strong>Real-Time Authentication <br>
                               <strong>Product Launch: </strong>September 2013 <br>
                               <strong>Metrics: </strong>$945M NICE revenues (2013) &amp; 3,700  total employees<br>
                               <strong>Presenters: </strong>Matthew Storm (Director, Innovation &amp; Solutions),
                               Jade Kahn (Solutions Marketing Manager)","",http://www.finovate.com/fall14vid/nice.html,http://www.finovate.com/fall14vid/logos/NICE.jpg
SAS Games,2014,New York,"Siobhan Mullen (Founder & CEO), Stephen Scully (Founder & President)","H. Lawrence Clark (Chairman, Edna McConnell Clark Foundation)",,Business Angels with executive management and board positions in financial services and the investment community,"Ripken Baseball, Cal Ripken, Jr., McDonald's Caspers Company",,"<strong>Website: </strong><a href=""http://tivitzcollegesavings.com"" target=""_blank"">tivitzcollegesavings.com</a><br>
                      <br>
                               <strong> HQ: </strong>Cocoa, FL<br>
                               <strong>Founded: </strong>February 2004<br>
                               <strong>Product Demoed: </strong>TiViTz  College $avings Game-a-thon<br>
                               <strong>Product Launch: </strong>November  2014<br>
                               <strong>Metrics: </strong>SAS Games has raised over $5M from angel investors to develop the  various TiViTz products, tournaments, and programs. The company has 10  employees to manage tournaments, events, operations, marketing, and promotions,  as well as product development with our game developers in Europe (Unit9) and  software tool developers based in California and Japan with programmers in  Vietnam (SETA International).<br>
                               <strong>Presenters: </strong>Siobhan Mullen (CEO),
              Patrick Moore (Technology Director)","",http://www.finovate.com/fall14vid/tivitzcollegesavings.html,http://www.finovate.com/fall14vid/logos/SASGames.jpg
Ayasdi,2014,New York,"Gurjeet Singh (CEO & Co-Founder), Gunnar Carlsson (President & Co-Founder)","Steve Harrick (General Partner, Institutional Venture Partners), Todd Rulon-Miller (Venture Advisor), Ann Miura-Ko (General Partner, FLOODGATE)",,"Citi Ventures, FLOODGATE, Institutional Venture Partners (IVP), GE Ventures, Khosla Ventures, Michael Ovitz",,"General Electric (GE), Citigroup, Anadarko, Boehringer Ingelheim, the University of California San Francisco (UCSF), Mount Sinai Hospital","<strong>Website: </strong><a href=""http://ayasdi.com"" target=""_blank"">ayasdi.com</a><br>
                  <strong>Blog: </strong><a href=""http://ayasdi.com/blog"" target=""_blank"">ayasdi.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/Ayasdi"" target=""_blank"">@Ayasdi</a><br>
                      <br>
                               <strong> HQ:</strong> Menlo Park, CA<br>
                               <strong>Founded: </strong>June 2008 <br>
                               <strong>Product Demoed: </strong>Ayasdi  Finance <br>
                      <strong>Product Launch: </strong>October 2014<br>
                      <strong>Presenters: </strong>Michael Woods (Principal Data Strategist), 
              Max Song (Data Scientist)","",http://www.finovate.com/fall14vid/ayasdi.html,http://www.finovate.com/fall14vid/logos/Ayasdi.jpg
Patch of Land,2014,New York,"Carlo Tabibi (CEO & Co-Founder), Brian Fritton (CTO & Co-Founder), Jason Fritton (COO & Co-Founder), AdaPia D’Errico (CMO)",,"Patrick Gannon (Partner, Archimedes Labs), Daniel Zwirn (Founder & Backer, 100 specialty finance-oriented businesses)",Initial seed funding from Carlo Tabibi (CEO),"Wealthforge, Crowdbouncer, Crowdnetic, National REIA","Accredited investors, family offices, and hedge funds","<strong>Website: </strong><a href=""http://patchofland.com"" target=""_blank"">patchofland.com</a><br>
                  <strong>Blog: </strong><a href=""http://patchofland.com/blog"" target=""_blank"">patchofland.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/PatchOfLand"" target=""_blank"">@PatchOfLand</a><br>
                      <br>
                               <strong> HQ: </strong>Los Angeles, CA<br>
                               <strong>Founded: </strong>February 2013<br>
                               <strong>Product Demoed: </strong>Patch of  Land<br>
                               <strong>Product Launch: </strong>October 2013<br>
                      <strong>Metrics: </strong>10<strong> </strong>employees,  2,500 investors, 279 loans in the pipeline (212% QonQ growth), average loan  size $240,000, YTD 24 loans from 6 states totaling $5.2M, all funded by  investors online<br>
                      <strong>Presenters: </strong>AdaPia d'Errico (CMO), Brian Fritton (CTO &amp;   Co-Founder)","",http://www.finovate.com/fall14vid/patchofland.html,http://www.finovate.com/fall14vid/logos/PatchofLand.jpg
Minetta Brook,2014,New York,"Deepak Bharadwaj (CEO), Prabhu Venkatesh (Chief Scientist), Viplav Nigam (VP Engineering)",,"James Reed (Former Chairman & CEO, Mizuho Securities), Andy Frey (President, Seattle Security Traders Association), Nenad Yashruthi (Head Trader, Freestone Capital)","James Reed (Former Chairman & CEO, Mizuho Securities), Rex Wardlaw (Former Senior MD, First Republic Investment Management), Naya Ventures, TIE Angel Group Seattle, Kernel Capital, Keiretsu Forum Northwest","Bloomberg, Moreover Technologies, Six Financial","Sales Traders, Portfolio Managers, Hedge Fund Managers, Buy-side Traders, Research Analysts","<strong>Website: </strong><a href=""http://knewsapp.com"" target=""_blank"">knewsapp.com</a><br>
                  <strong>Blog: </strong><a href=""http://knewsapp.com/blog"" target=""_blank"">knewsapp.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/knewsapp"" target=""_blank"">@knewsapp</a><br>
                      <br>
                               <strong> HQ: </strong> Seattle, WA<br>
                               <strong>Founded: </strong>September 2011<br>
                               <strong>Product Demoed: </strong>KNEWSAPP<br>
                               <strong>Product Launch: </strong>September  2014<br>
                               <strong>Metrics: </strong>$2.4M in funding, 10 employees, over 100 firms in trial &amp; beta, 40,000+  news sources<br>
                               <strong>Presenters: </strong>Deepak Bharadwaj (CEO &amp; Founder),
                               Viplav Nigam (VP Engineering)","",http://www.finovate.com/fall14vid/knewsapp.html,http://www.finovate.com/fall14vid/logos/MinettaBrook.jpg
TickSmith,2014,New York,"Francis Wenzel (CEO), Marc-André Hétu (CTO), David Côté (CIO), Tony Bussieres (SVP Dev.), Linda Biagi (Partner Global Sales)",,,,SIX Financial Information,"Chi-X Canada, SciVantage, large hedge funds","<strong>Website: </strong><a href=""http://ticksmith.com"" target=""_blank"">ticksmith.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/TickSmith"" target=""_blank"">@TickSmith</a><br>
                      <br>
                               <strong> HQ: </strong> Montreal, Quebec, Canada<br>
                               <strong>Founded: </strong>November 2012<br>
                               <strong>Product Demoed: </strong>TickVault  &amp; FIXVault Big Data Platforms for Financial Data <br>
                               <strong>Product Launch: </strong>August  2013<br>
                      <strong>Metrics: </strong>Over a Petabyte of financial data under  management<strong><br>
Presenters: </strong>Francis Wenzel (CEO),
David Côté (CIO)","",http://www.finovate.com/fall14vid/ticksmith.html,http://www.finovate.com/fall14vid/logos/TickSmith.jpg
Behalf,2014,New York,"Benjy Feinberg (Co-Founder & CEO), Shai Feinberg (Co-Founder & VP Sales), Meeka Berman (VP Product), Osher Frimerman (CTO), Russell Weiss (VP Risk Management)","Shmil Levy (Sequoia), Santo Politi (Spark Capital), Phillip Riese (Former President, American Express & Chairman, ZOPA)",,"Shmil Levy, Partner (Sequoia), Santo Politi (Partner, Spark Capital)",,,"<strong>Website: </strong><a href=""http://behalf.com"" target=""_blank"">behalf.com</a><br>
                      <br>
                               <strong> HQ:</strong> New York, NY<br>
                               <strong>Founded: </strong>2011 <br>
                               <strong>Product Demoed: </strong>Vendor  Platform <br>
                      <strong>Product Launch: </strong>August  2014<br>
                               <strong>Metrics: </strong>$10M,  25 employees<br>
                               <strong>Presenters: </strong>Benjy Feinberg (CEO), Andrew   Abshere (Director, Product), Meeka Metzger (VP, Product)","",http://www.finovate.com/fall14vid/behalf.html,http://www.finovate.com/fall14vid/logos/Behalf.jpg
Kapitall,2014,New York,,,"Glenn Stevens (Gain Capital), Cathi Raffaeli (Linden Ventures), Oksana Malysheva (Linden Ventures), Jarrett Lilien (Kapitall & Bendigo Partners)",,,,"<strong>Website: </strong><a href=""http://kapitall.com"" target=""_blank"">kapitall.com</a><br>
                  <strong>Blog: </strong><a href=""http://backstage.kapitall.com"" target=""_blank"">backstage.kapitall.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/Kapitall"" target=""_blank"">@Kapitall</a><br>
                      <br>
                               <strong> HQ: </strong>New  York, NY <br>
                               <strong>Founded: </strong>March 2008<br>
                               <strong>Product Demoed: </strong>Kapitall  Tournament &amp; Pocket<br>
                               <strong>Product Launch: </strong>September  2014<br>
                      <strong>Metrics: </strong>$25M raised<br>
                      <strong>Presenters: </strong>Gaspard De Dreuzy (Co-Founder),
                      Antonio Reyes (Head of Development)","",http://www.finovate.com/fall14vid/kapitall.html,http://www.finovate.com/fall14vid/logos/Kapitall.jpg
BlueVine,2014,New York,"Eyal Lifshitz (CEO), Nir Klar (CTO), Moti Shatner (CRO), Edward Castaño (VP Operations)",,,"Lightspeed Venture Partners, Greylock IL, Correlation Ventures, Kima Ventures",,,"<strong>Website: </strong><a href=""http://bluevine.com"" target=""_blank"">bluevine.com</a><br>
                  <strong>Blog: </strong><a href=""http://bluevine.com/blog"" target=""_blank"">bluevine.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/BlueVineCapital"" target=""_blank"">@BlueVineCapital</a><br>
                      <br>
                               <strong> HQ:</strong> Palo Alto, CA<br>
                               <strong>Founded: </strong>July 2013 <br>
                               <strong>Product Demoed: </strong>BlueVine <br>
                               <strong>Product Launch: </strong>March 2014 <br>
                               <strong>Metrics: </strong>$5.5M  raised, 15 employees<br>
                               <strong>Presenters: </strong>Eyal Lifshitz (CEO), Edward   Castaño (VP Operations)","",http://www.finovate.com/fall14vid/bluevine.html,http://www.finovate.com/fall14vid/logos/BlueVine.jpg
iQuantifi,2014,New York,"Tom White (Founder & CEO), Karen White (Co-Founder & Chief Product Officer), Jim Siegienski (CTO), Brian Evans (CMO)",,,,MoneyDesktop,,"<strong>Website: </strong><a href=""http://iquantifi.com"" target=""_blank"">iquantifi.com</a><br>
                  <strong>Blog: </strong><a href=""http://iquantifi.com/blog"" target=""_blank"">iquantifi.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/iquantifi"" target=""_blank"">@iquantifi</a><br>
                      <br>
                               <strong> HQ: </strong> Nashville,  TN <br>
                               <strong>Founded: </strong>June 2011<br>
                               <strong>Product Demoed: </strong>""Cashfinder""  and ""What if""<br>
                               <strong>Product Launch: </strong>September  2014<br>
                               <strong>Metrics:</strong> Raised $1.1M  to date, 7 employees, over 25% of site traffic converted to users<strong></strong><br>
                               <strong>Presenters: </strong>Tom White (CEO &amp; Founder),
                               Karen White (CPO &amp; Co-Founder)","",http://www.finovate.com/fall14vid/iquantifi.html,http://www.finovate.com/fall14vid/logos/iQuantifi.jpg
